"CT_ID_10","TotalPop","MedHouseIncome","FamPovPer","UnempRate","COI.ALLCOMPLEV","COI.ALLCOMPLEV.NUM"
25013813304,3942,124844,3.76,4.78,"Very High",1
25013813401,5404,73494,5.92,8.45,"Very High",1
25013813403,3897,71389,3.61,4.9,"Very High",1
25013813404,6762,97083,0.91,3.51,"Very High",1
25013813500,5190,80375,3.2,6.72,"Very High",1
25013813601,8125,82966,1.78,4.92,"Very High",1
25013813602,6391,111607,1.48,2.5,"High",0.75
25013813701,3515,66667,2.31,9.57,"Moderate",0.5
25013813702,5226,76857,3.84,5.26,"High",0.75
25013813801,4390,62750,2.85,8.16,"Low",0.25
25013813802,3718,83273,3.02,5.85,"High",0.75
25015820101,6513,59706,7.93,8.49,"Low",0.25
25015820102,3390,38728,13.88,8.5,"Very Low",0
25015820202,1300,91518,2.65,6.09,"High",0.75
25015820203,8244,72886,6.26,6.02,"High",0.75
25015820204,6644,95200,4.25,6.68,"Moderate",0.5
25015820300,6829,39144,8.86,5.16,"Very High",1
25015820400,13101,NA,0,19.18,"High",0.75
25015820500,6342,32679,4.9,3.93,"Very High",1
25015820600,1833,103021,0,7.96,"Moderate",0.5
25015820700,4970,79821,14,7.95,"High",0.75
25015820801,5467,61875,11.68,11.4,"High",0.75
25015820802,1182,NA,NA,15.48,"High",0.75
25015820900,6327,86692,2.16,4.18,"High",0.75
25015821000,4157,69033,2.16,7.82,"Very High",1
25015821100,7048,51073,6.13,6.78,"Very High",1
25015821200,2344,123125,0,9.15,"Very High",1
25015821300,4204,79773,3.34,1.78,"Moderate",0.5
25015821400,5338,62634,3.91,1.01,"Very High",1
25015821500,3298,64427,1.77,2.4,"Moderate",0.5
25015821601,3446,52981,13.82,5.7,"High",0.75
25015821602,3941,53125,14.12,4.97,"High",0.75
25015821700,3635,69504,7.61,10.36,"High",0.75
25015821901,3608,78214,1.38,4.6,"Very High",1
25015821903,3237,33147,6.98,11.6,"Very High",1
25015821904,2542,61835,4.89,1.9,"Very High",1
25015822000,2257,63125,35.14,8.4,"High",0.75
25015822200,5868,92159,7.85,6.67,"Very High",1
25015822300,4942,46932,1.38,6.93,"High",0.75
25015822401,5705,82857,2.95,2.44,"Very High",1
25015822402,5395,55417,13.75,12.63,"High",0.75
25015822500,6081,90318,2.71,5.64,"Very High",1
25015822601,1962,68958,6.34,2.33,"Low",0.25
25015822603,1830,82788,1.87,6.62,"High",0.75
25015822605,1243,66500,3.66,9.21,"Low",0.25
25015822606,3618,72778,5.28,5.61,"Moderate",0.5
25015822700,3194,64226,3.48,3.18,"Moderate",0.5
25017300100,3196,89934,4.31,5.64,"Moderate",0.5
25017301101,4092,72303,3.84,3.47,"High",0.75
25017301102,5277,98750,1.55,4.95,"Moderate",0.5
25017310100,5962,31550,19.64,14.39,"Very Low",0
25017310200,6735,55035,6.73,5.76,"Very Low",0
25017310300,6353,36861,31.33,10.35,"Very Low",0
25017310400,3306,28567,28.12,12.21,"Very Low",0
25017310500,3465,51101,4.76,3.74,"Very Low",0
25017310601,6411,67404,6.39,10.16,"Very Low",0
25017310602,5345,51989,15.7,10.43,"Low",0.25
25017310700,4749,34712,13.58,7.7,"Very Low",0
25017311100,2498,45694,19.86,12.25,"Very Low",0
25017311200,3411,39486,18.35,13.13,"Very Low",0
25017311300,3853,49000,10.88,7.99,"Very Low",0
25017311400,5700,43750,15.48,9.44,"Very Low",0
25017311500,3131,64583,23.76,9.29,"Very Low",0
25017311600,5642,64122,10.91,7.95,"Very Low",0
25017311700,4954,53281,21.94,12.15,"Very Low",0
25017311800,3335,36702,20.3,13.44,"Very Low",0
25017311900,2525,24654,36.01,14.25,"Very Low",0
25017312000,3060,42800,22.09,12.74,"Very Low",0
25017312100,3038,43607,28.1,9.98,"Very Low",0
25017312200,4143,63200,12.32,5.54,"Very Low",0
25017312300,4814,66537,0,7.39,"Very Low",0
25017312400,2592,30739,27.96,16.3,"Very Low",0
25017312501,4384,67361,15.32,6.41,"Very Low",0
25017312502,4090,66964,0.82,6.98,"Low",0.25
25017313101,6227,110117,9.99,5.81,"Low",0.25
25017313102,5906,98294,4.07,4.37,"Low",0.25
25017314101,6643,97457,3.53,1.86,"Low",0.25
25017314102,7611,71479,1.12,6.91,"Low",0.25
25017314200,5422,71423,5.81,4.58,"Moderate",0.5
25017314301,8205,93382,2.72,4.98,"Moderate",0.5
25017314302,3059,125938,3.21,6.09,"High",0.75
25017315100,6062,101649,5.6,4.45,"Moderate",0.5
25017315200,7867,91667,2.4,5.3,"Moderate",0.5
25017315401,3869,65139,1.36,3.67,"Moderate",0.5
25017315402,3063,112991,3.31,2.53,"Moderate",0.5
25017315403,1779,102218,2.92,9.14,"Moderate",0.5
25017315500,7738,85239,5.39,6.11,"Moderate",0.5
25017316101,4974,100972,1.15,5.4,"Moderate",0.5
25017316102,6758,107383,0.45,6.76,"Moderate",0.5
25017316201,4212,105365,3.91,5.44,"Moderate",0.5
25017316202,4607,103472,1.72,5.78,"Low",0.25
25017316300,8500,85958,5.61,6.32,"Moderate",0.5
25017316400,6999,101713,2.13,3.56,"Low",0.25
25017316500,6178,95288,3.06,6.43,"Low",0.25
25017317101,6197,98694,1.18,3.54,"Moderate",0.5
25017317102,4661,104483,0.91,5.34,"High",0.75
25017317103,5065,127798,2.28,3.68,"High",0.75
25017317201,2771,128571,2.18,4.92,"High",0.75
25017317202,3565,129350,1.32,4.42,"Very High",1
25017317203,4195,96972,1.47,4.15,"High",0.75
25017317301,2735,75591,1.39,7.49,"Very High",1
25017317302,5717,80278,2.11,5.29,"Moderate",0.5
25017318100,7150,120417,2.26,5.92,"High",0.75
25017318200,4515,115670,4.92,1.87,"High",0.75
25017318300,8109,151549,0.58,3.15,"Very High",1
25017318400,4076,148529,1.98,4.69,"Very High",1
25017320102,5449,140230,2.43,6.07,"Very High",1
25017320103,2910,153750,1.27,6.99,"Very High",1
25017320104,7898,146875,0.63,3.86,"Very High",1
25017321100,6854,82000,3.24,6.18,"Moderate",0.5
25017321200,6339,64896,3.16,2.73,"Low",0.25
25017321300,8084,60558,10.14,2.64,"Low",0.25
25017321400,2903,94293,1.46,8,"Moderate",0.5
25017321500,7483,75472,5.89,5.08,"Low",0.25
25017321600,7882,84038,6.98,5.04,"Moderate",0.5
25017322100,4642,110086,1.83,4.7,"Moderate",0.5
25017322200,3817,77131,2.53,3.4,"High",0.75
25017322300,6203,63571,8.5,2.94,"Low",0.25
25017322400,5018,80272,8.16,4.86,"Low",0.25
25017323100,7027,146799,2.78,4.16,"Very High",1
25017324101,4936,102778,0,5.37,"High",0.75
25017324102,4602,113000,2.44,5.83,"High",0.75
25017325100,7929,77112,12.15,5.75,"Very Low",0
25017326101,4242,128981,4.32,4.35,"Very High",1
25017326102,6940,115227,1.99,5.79,"Very High",1
25017327101,3973,106750,1.61,3.35,"Moderate",0.5
25017327102,4297,77829,7.52,8.71,"Low",0.25
25017327103,3761,86389,2.3,4.95,"High",0.75
25017328100,3310,118984,0.67,3.92,"High",0.75
25017330100,8730,146650,1.59,2.58,"High",0.75
25017330200,6746,99792,0.74,5.07,"Moderate",0.5
25017331101,3347,100508,0.69,3.01,"High",0.75
25017331102,7277,99456,1.99,7.88,"Low",0.25
25017331200,5436,98077,4.49,8.09,"Moderate",0.5
25017331300,7250,116146,1.02,6.65,"Low",0.25
25017332100,6407,111326,0,3.82,"High",0.75
25017332200,8515,91000,6.32,6.81,"Moderate",0.5
25017332300,6948,78750,3.31,3.14,"High",0.75
25017332400,3828,93816,10.63,7.62,"High",0.75
25017333100,7829,91065,1.29,5.43,"Very High",1
25017333200,4769,72656,7.53,8.62,"High",0.75
25017333300,3896,74632,4.81,7.71,"Low",0.25
25017333400,6014,88367,8.58,2.2,"Moderate",0.5
25017333501,5268,102750,2.01,1.35,"High",0.75
25017333502,3548,69432,3.3,8.6,"Moderate",0.5
25017333600,7896,90123,8.45,6.38,"Moderate",0.5
25017334100,7251,115463,3.22,3.03,"High",0.75
25017334200,3966,108750,0,4.55,"High",0.75
25017334300,7640,128911,0,2.78,"High",0.75
25017334400,6633,84385,3.15,5.39,"Very High",1
25017335100,5655,89868,0,4.26,"High",0.75
25017335200,6334,100588,0,2.54,"High",0.75
25017335301,4242,78429,6.76,4,"Moderate",0.5
25017335302,5101,87292,1.58,3.59,"High",0.75
25017335400,5067,95078,1.25,6.27,"High",0.75
25017336100,5567,73633,1.02,3.75,"Very High",1
25017336200,6091,117303,4.87,1.79,"Very High",1
25017336300,6437,104505,0,3.74,"Very High",1
25017336401,4597,61839,6.53,6.88,"Very High",1
25017336402,5095,81250,0,5.6,"High",0.75
25017337101,3136,77727,4,3.04,"High",0.75
25017337102,5017,99875,2.92,4.17,"High",0.75
25017337201,3091,61875,5.68,1.84,"High",0.75
25017337202,4874,76615,0,4.45,"High",0.75
25017337300,5713,89003,3.14,8.67,"High",0.75
25017338100,3213,160586,0,3.86,"Very High",1
25017338200,4133,103333,2.55,3.79,"High",0.75
25017338300,3294,128897,0.82,7.21,"Very High",1
25017338400,5931,177935,0.66,2.54,"Very High",1
25017338500,5920,197125,3.3,3.06,"Very High",1
25017339100,6280,55593,5.75,5,"High",0.75
25017339200,5779,120766,1.99,5.22,"High",0.75
25017339300,2872,81375,3.87,3.61,"High",0.75
25017339400,3333,68670,2.4,2.98,"Low",0.25
25017339500,5849,81964,5.41,2.93,"High",0.75
25017339600,5382,79915,7.31,4.14,"Moderate",0.5
25017339700,4413,57708,10.89,4.87,"Low",0.25
25017339801,4947,86031,2.88,4.39,"Moderate",0.5
25017339802,4419,69375,20.56,7.69,"Low",0.25
25017339900,4742,65804,2.48,5.09,"Moderate",0.5
25017340000,2539,64879,11.57,6.48,"Low",0.25
25017340100,6625,98569,2.72,11.55,"Moderate",0.5
25017341101,3977,76816,12.66,5.59,"Moderate",0.5
25017341102,4019,49627,3.02,6.21,"Low",0.25
25017341200,7725,62226,11.27,9.74,"Very Low",0
25017341300,5145,37813,21.45,7.87,"Low",0.25
25017341400,6902,62930,6.65,4.67,"Low",0.25
25017341500,5476,58770,15.06,10.71,"Very Low",0
25017341600,6403,66150,13.66,9.6,"Moderate",0.5
25017341700,5205,64136,9.44,5.68,"Low",0.25
25017341800,5915,35672,23.87,5.13,"Very Low",0
25017341901,1482,63988,1.92,4.25,"Low",0.25
25017341902,8483,75533,7.95,8.96,"Low",0.25
25017342101,4601,44087,18.77,7.76,"Very Low",0
25017342102,3699,35372,12.07,6.37,"Low",0.25
25017342201,4661,53902,14.93,8.7,"Low",0.25
25017342202,4109,64861,9.89,3.04,"Low",0.25
25017342300,7414,66498,13.78,6.3,"Very Low",0
25017342400,7025,46471,16.48,7.24,"Low",0.25
25017342500,7979,46664,7.51,7.94,"Very Low",0
25017342600,5148,57733,17.75,9.07,"Very Low",0
25017350103,1392,100336,4.81,6.37,"Moderate",0.5
25017350104,7484,51890,19.12,5.24,"Low",0.25
25017350200,6601,80694,8.07,9.17,"Moderate",0.5
25017350300,2635,71953,4.47,4.25,"Low",0.25
25017350400,5631,91071,5.19,4.57,"High",0.75
25017350500,1510,97344,0,7.78,"High",0.75
25017350600,4264,109318,2.23,2.38,"Moderate",0.5
25017350700,6424,73704,15.5,7.78,"Moderate",0.5
25017350800,2027,115893,4.89,1.22,"High",0.75
25017350900,3727,115250,0,1.34,"Very High",1
25017351000,7692,93906,10.72,4.83,"High",0.75
25017351100,6059,96952,5.45,1.59,"High",0.75
25017351203,4751,81952,11.08,3.62,"Very High",1
25017351204,4375,69541,9.38,6.58,"Very High",1
25017351300,4248,70202,8.87,6.52,"Moderate",0.5
25017351403,4304,60774,8.7,2.22,"Moderate",0.5
25017351404,3994,54835,2.5,12.19,"Low",0.25
25017351500,2389,60357,13.31,2.79,"High",0.75
25017352101,1726,84659,21.39,1.15,"High",0.75
25017352102,2376,112784,3.29,6.11,"Very High",1
25017352200,1691,31845,1.83,3.83,"High",0.75
25017352300,3911,93369,12.05,7.66,"Very High",1
25017352400,2087,39698,19.67,6.72,"Very High",1
25017352500,2760,87829,10.44,6.98,"Very High",1
25017352600,2597,62100,10.37,9.27,"Very High",1
25017352700,2184,52112,8.92,16.09,"Very High",1
25017352800,2078,88173,6.48,2.59,"High",0.75
25017352900,2909,98071,6.02,3.93,"Very High",1
25017353000,3482,59821,9.26,2.98,"High",0.75
25017353101,2598,90144,18.96,4.05,"Very High",1
25017353102,4801,100476,0,7.8,"Very High",1
25017353200,5040,83472,10.09,4.81,"Very High",1
25017353300,3619,96544,3.67,2.93,"Very High",1
25017353400,2943,79167,4.94,3.32,"Very High",1
25017353500,2671,81063,5.16,4.52,"High",0.75
25017353600,4827,95750,2.4,6,"Very High",1
25017353700,5754,70150,8.55,5.7,"Very High",1
25017353800,4652,77484,8.07,6.35,"Very High",1
25017353900,6287,54239,16.43,5.19,"Very High",1
25017354000,4153,69279,6.15,2.93,"Very High",1
25017354100,2791,113973,0,3.47,"Very High",1
25017354200,3408,150976,3.06,5.23,"Very High",1
25017354300,3282,68929,5.03,3.25,"High",0.75
25017354400,1775,135714,1.05,2.09,"Very High",1
25017354500,2224,75066,5.1,4.57,"Very High",1
25017354600,5461,79706,9.03,9.62,"Moderate",0.5
25017354700,2750,101027,1.77,4.61,"Very High",1
25017354800,2154,116898,1.42,2.49,"Very High",1
25017354900,6553,54507,19.43,6.52,"Moderate",0.5
25017355000,3213,95037,5.96,3.95,"High",0.75
25017356100,3026,125091,1.59,4.06,"Very High",1
25017356300,5125,87622,0.32,5.12,"Very High",1
25017356400,7399,120163,1.88,3.47,"Very High",1
25017356500,6793,98750,3.89,3.03,"Very High",1
25017356601,4297,87273,5.5,3.43,"High",0.75
25017356602,4330,126083,1.98,1.12,"Very High",1
25017356701,6500,85514,4.15,5.18,"Very High",1
25017356702,6938,94938,3.25,6.67,"Very High",1
25017357100,4386,99583,3.01,5.01,"Very High",1
25017357200,3291,159375,2.79,4.78,"Very High",1
25017357300,3097,120167,4.71,2.52,"Very High",1
25017357400,2373,136250,2.29,4.69,"Very High",1
25017357500,2111,105625,3.14,3.65,"Very High",1
25017357600,2613,72656,1.15,5.6,"Very High",1
25017357700,3708,72169,6.65,4.12,"Very High",1
25017357800,3976,155667,5.33,2.64,"Very High",1
25017358100,5390,156618,0.61,2.59,"Very High",1
25017358300,5855,155118,3.64,7.4,"Very High",1
25017358400,5104,121992,4.17,4.19,"Very High",1
25017358500,5162,165625,2.68,6.74,"Very High",1
25017358600,6246,152768,3.39,7.09,"Very High",1
25017358700,5179,158750,1.51,4.38,"Very High",1
25017359100,6731,111129,1.71,3.99,"Very High",1
25017359300,7357,123399,1.9,5.84,"High",0.75
25017360100,1873,84583,3.72,8.77,"High",0.75
25017360200,4778,143750,3.38,2.16,"Very High",1
25017361100,5853,134597,2.85,3.1,"Very High",1
25017361200,7487,124297,4.61,4.93,"Very High",1
25017361300,6092,167778,2.33,1.29,"Very High",1
25017362100,5125,167400,1.43,4.32,"High",0.75
25017363102,6044,99741,3.55,4.52,"High",0.75
25017363103,3627,126618,0,7.57,"High",0.75
25017363104,6472,155239,0,3.35,"Very High",1
25017363201,3348,151500,1.91,5.96,"High",0.75
25017363202,3718,137250,0.85,2.36,"Very High",1
25017364101,5407,94625,7.39,2.8,"Moderate",0.5
25017364102,5119,82375,9.35,5.92,"High",0.75
25017365100,7867,174634,0,2.72,"Very High",1
25017365201,5971,163030,3.17,5.38,"Very High",1
25017365202,4756,140625,1.31,4.45,"Very High",1
25017366100,4843,121771,4.08,3.69,"Very High",1
25017366201,3514,215250,0.93,0,"Very High",1
25017366202,5187,170613,1.91,2.25,"Very High",1
25017367100,3954,186289,3.6,4.79,"Very High",1
25017367200,7992,193580,5.49,4.17,"Very High",1
25017368101,6091,109583,6.67,7.32,"High",0.75
25017368102,3796,104393,1.5,6.64,"High",0.75
25017368200,4436,99611,3.23,5.66,"High",0.75
25017368300,5226,62012,3.63,2.12,"Low",0.25
25017368400,8755,81199,1.27,6.36,"Moderate",0.5
25017368500,3246,55694,7.37,4.83,"Low",0.25
25017368600,5432,78944,8.86,5.16,"Low",0.25
25017368700,2383,63603,14.82,4.68,"Low",0.25
25017368800,4790,68938,4.64,6.5,"Moderate",0.5
25017368901,7176,79620,10.79,4.92,"High",0.75
25017368902,4444,68871,6.7,2.93,"Moderate",0.5
25017369000,1629,95592,3.77,4.43,"High",0.75
25017369100,5295,101991,2.48,5.12,"Very High",1
25017370101,7641,91942,11.81,9.52,"High",0.75
25017370102,7472,90265,10.09,4.37,"Very High",1
25017370201,3663,107546,6.1,2.39,"High",0.75
25017370202,4491,99783,0.81,4.74,"High",0.75
25017370300,5331,77069,2.88,6.71,"High",0.75
25017370400,5251,91383,1.23,4.11,"Very High",1
25017373100,4942,83409,1.85,3.34,"Very High",1
25017373200,4700,79045,3.41,5.13,"Very High",1
25017373300,3155,106250,7.3,3.79,"Very High",1
25017373400,3542,128790,5.18,1.98,"Very High",1
25017373500,6367,188333,1.24,4.85,"Very High",1
25017373600,6196,167232,4.01,3.37,"Very High",1
25017373700,3555,197898,0,4.13,"Very High",1
25017373800,5868,117569,6.02,6.04,"Very High",1
25017373900,6492,171313,2.68,4.49,"Very High",1
25017374000,5410,124263,5.03,5.29,"Very High",1
25017374100,4751,99839,3.71,4.73,"High",0.75
25017374200,4437,164612,0.69,4.07,"Very High",1
25017374300,3656,184196,0.37,4.42,"Very High",1
25017374400,5880,159417,2.18,4.28,"Very High",1
25017374500,4641,123462,1,4.37,"Very High",1
25017374600,5056,114786,2.42,6.23,"Very High",1
25017374700,4929,114563,2.28,3.47,"Very High",1
25017374800,4740,124280,0.79,4.37,"Very High",1
25017382100,5057,120270,0,4.12,"Very High",1
25017382200,5503,107543,1.37,3.46,"Very High",1
25017382300,5877,127222,1.23,1.76,"Very High",1
25017382400,4812,95331,1.67,2.61,"High",0.75
25017382500,4869,103911,1.87,5.01,"Very High",1
25017382601,4661,77541,2.4,4.21,"High",0.75
25017382602,4606,113672,0,5.47,"Very High",1
25017383101,3269,28472,25.97,5.27,"Low",0.25
25017383102,5645,35724,25.09,12.01,"Very Low",0
25017383200,6063,61694,13.24,6.94,"Low",0.25
25017383300,3086,50625,3.52,3.4,"Low",0.25
25017383400,6131,56186,11.11,3.73,"Moderate",0.5
25017383501,4931,41579,15.72,5.83,"Low",0.25
25017383502,3837,75380,0,4.24,"High",0.75
25017383600,5974,72205,8.81,2.6,"High",0.75
25017383700,5285,87600,0,2.91,"Moderate",0.5
25017383800,5521,108750,1.96,6.12,"Moderate",0.5
25017383901,8079,99707,2.26,6.67,"Very High",1
25017383902,5401,139364,0.97,3.11,"High",0.75
25017384001,1522,96563,9.97,6.21,"High",0.75
25017384002,5999,70271,8.95,6.64,"Low",0.25
25017385100,6953,118625,2.6,1.55,"Low",0.25
25017385201,2572,66549,1.96,4.08,"Moderate",0.5
25017385202,7895,107155,3.5,4.43,"High",0.75
25017386100,4255,158250,3.57,2.92,"Very High",1
25017387100,4297,103583,2.79,4.73,"Very High",1
25017387201,5868,103281,0.89,6.46,"High",0.75
25017387202,4159,127500,1.01,5.45,"High",0.75
25017388100,5287,103556,3.42,5.97,"Very High",1
25017388200,7433,68864,9.12,7.24,"Very Low",0
25017388300,6375,13984,51.41,11.49,"Very Low",0
25017980000,0,NA,NA,NA,"Moderate",0.5
25019950100,1437,73462,0,3.75,NA,NA
25019950200,5181,87344,9.81,3.81,NA,NA
25019950307,408,81563,0,11.37,NA,NA
25019950400,2638,104464,0,1.03,NA,NA
25019950500,1030,84091,1.22,4.89,NA,NA
25019990000,0,NA,NA,NA,NA,NA
25021400100,5071,97132,1.62,3.88,"Very High",1
25021400200,6074,65845,17.48,2.55,"Very High",1
25021400300,4354,126711,1.23,1.49,"Very High",1
25021400400,5675,95278,6.66,3.48,"Very High",1
25021400500,5279,109333,3.71,5.44,"Very High",1
25021400600,5323,105230,1.65,9.18,"Very High",1
25021400700,3365,134792,2.86,5.4,"Very High",1
25021400800,5480,95817,6.04,3.31,"Very High",1
25021400900,4399,64797,11.81,6.8,"Very High",1
25021401000,3259,91705,11.69,7.87,"Very High",1
25021401100,4332,166552,1.83,4.26,"Very High",1
25021401200,6569,112773,3.01,4.29,"Very High",1
25021402101,3488,74866,4.14,4.75,"High",0.75
25021402102,4316,68864,7.39,6.86,"Low",0.25
25021402200,2239,82667,1.72,5.73,"Low",0.25
25021402300,4259,103750,0.61,4.28,"High",0.75
25021402400,6479,94549,0.37,4.22,"Very High",1
25021402500,4491,101944,1.61,2.67,"High",0.75
25021403100,6681,168239,3.55,5.69,"Very High",1
25021403300,4167,160776,0.76,2.13,"Very High",1
25021403400,6995,129940,3.41,5.83,"Very High",1
25021403500,6427,121029,4.71,7.07,"Very High",1
25021404100,4122,147361,2.71,4.8,"Very High",1
25021404201,3895,186974,2.45,5.84,"Very High",1
25021404202,5022,184926,1.02,3.35,"Very High",1
25021404301,5610,198640,3.5,4.55,"Very High",1
25021404302,3680,159400,0,6.69,"Very High",1
25021404400,6580,142143,2.04,6.78,"Very High",1
25021405100,5864,189265,0,3.99,"Very High",1
25021406101,5866,138315,2.51,5.05,"Very High",1
25021406102,6644,152917,2.34,4.53,"Very High",1
25021407100,8110,97591,2,4.36,"High",0.75
25021408101,8122,119345,2.75,5.83,"High",0.75
25021408102,5013,101250,2.92,2.73,"High",0.75
25021409101,6356,131000,5.45,4.63,"High",0.75
25021409102,5283,142969,1.82,2.87,"Very High",1
25021410100,6374,87625,3,7.44,"High",0.75
25021410300,4668,101444,2.3,5.81,"High",0.75
25021410400,6306,93224,3.96,5.31,"High",0.75
25021411100,8154,91959,1.54,6.23,"Moderate",0.5
25021411200,7039,99875,3.48,5.42,"High",0.75
25021411301,5828,104918,2.52,4.91,"High",0.75
25021411302,3892,100268,3.4,1.99,"Moderate",0.5
25021412100,6591,142318,1.91,4.4,"Very High",1
25021412200,3738,139167,0.83,3.27,"Very High",1
25021412300,5035,130764,0.69,4.94,"Very High",1
25021413100,5804,81786,7.32,5.46,"High",0.75
25021413200,6107,69072,10.3,7.7,"Moderate",0.5
25021413300,4977,110721,1.69,5.67,"High",0.75
25021413401,2988,64028,4.28,4.18,"Moderate",0.5
25021413402,4539,85000,4.47,6.32,"Moderate",0.5
25021413500,4603,88825,10.43,2.68,"Moderate",0.5
25021414100,5604,125281,1.91,5.12,"Very High",1
25021414200,7458,163598,0.18,4.55,"Very High",1
25021414300,5131,102083,2.59,5.14,"High",0.75
25021415101,4953,108618,4.82,5.81,"High",0.75
25021415102,8023,69606,9.6,11.45,"High",0.75
25021415200,5789,88698,2.97,7.54,"High",0.75
25021415300,3797,118523,0,3.85,"Very High",1
25021416101,5763,141629,2.63,4.23,"Very High",1
25021416102,3889,104821,3.08,3.75,"Very High",1
25021416200,6725,105500,3.97,5.86,"High",0.75
25021416300,4923,121080,3.69,5.17,"Very High",1
25021416400,6051,122216,2.93,4.13,"Very High",1
25021417100,4470,87535,3.59,4,"High",0.75
25021417200,8234,62188,7.06,6.93,"High",0.75
25021417300,2988,86189,2.35,6.95,"Moderate",0.5
25021417400,2365,86679,2.99,2.64,"High",0.75
25021417501,5117,76406,7.27,7.22,"High",0.75
25021417502,4530,62400,8.2,2.26,"Moderate",0.5
25021417601,5121,70230,4.06,11.33,"Very High",1
25021417602,5012,68689,4.5,4.82,"High",0.75
25021417701,5283,46852,7.83,9.42,"Moderate",0.5
25021417702,2912,85089,3.05,10.82,"High",0.75
25021417801,4814,87566,2.71,6.9,"Moderate",0.5
25021417802,3213,24384,31.84,13.59,"Very Low",0
25021417901,6264,44875,9.27,7.43,"Moderate",0.5
25021417902,3875,60000,9.58,9.19,"Low",0.25
25021418002,6905,69970,4.97,4.24,"Low",0.25
25021418003,2685,81920,10.66,3.21,"Moderate",0.5
25021418004,4406,57202,9.9,5.62,"Moderate",0.5
25021418101,4785,60871,12.26,4.33,"Moderate",0.5
25021418102,3392,52875,11.83,6.72,"Moderate",0.5
25021418200,6978,88833,4.93,10.18,"Low",0.25
25021419100,5890,89514,2.7,5.3,"High",0.75
25021419200,5504,91667,4.77,9.71,"High",0.75
25021419300,4139,62202,20.67,12.44,"Moderate",0.5
25021419400,2950,70156,5.62,6.76,"Moderate",0.5
25021419500,2917,80179,0,5.33,"High",0.75
25021419600,7160,96132,0.71,5.19,"Very High",1
25021419700,4125,84700,2.97,6.04,"Very High",1
25021419800,4381,82784,1.92,4.94,"High",0.75
25021420100,7798,68464,15.49,11.49,"Very Low",0
25021420201,3627,70257,8.73,9.21,"Very Low",0
25021420202,6369,67252,7,8.09,"Very Low",0
25021420301,7149,59022,3.32,17.86,"Very Low",0
25021420302,8583,60145,11.28,10.06,"Very Low",0
25021421100,5498,62530,6.93,8.04,"Low",0.25
25021421200,5510,69283,3.83,7.9,"Moderate",0.5
25021422100,5969,87581,4.05,7.74,"High",0.75
25021422200,7127,74604,3.53,5.26,"Moderate",0.5
25021422301,3130,109063,0.86,6.6,"Moderate",0.5
25021422302,6462,70478,3.57,7.31,"High",0.75
25021422400,7837,66518,5.4,6.4,"Moderate",0.5
25021422501,4947,44832,21.03,4.87,"Moderate",0.5
25021422502,5342,46947,18.54,13.87,"Moderate",0.5
25021422600,7132,73844,1.62,8.63,"Moderate",0.5
25021422700,3686,68250,2,9.46,"Moderate",0.5
25021422800,3969,72273,0.71,6.85,"High",0.75
25021423100,8316,128224,2.95,5.83,"Very High",1
25021440100,8892,92014,0.83,5.89,"High",0.75
25021441202,2965,131917,0.75,3.39,"High",0.75
25021441203,3943,91379,3.54,6.49,"High",0.75
25021441204,4575,89097,0.99,8.01,"High",0.75
25021442101,5826,96806,1.21,7.63,"High",0.75
25021442102,7088,112560,2.23,5.3,"Very High",1
25021442103,7273,131319,0,4.04,"Very High",1
